Date,Country,Injuries/Casualties,Type,Description,Source(s)
2016-06-29,Peru,1,Fall,"A 28-year-old South Korean tourist plunged 1,600 feet (490 m) off a cliff at Gocta waterfall in the Amazonas Region of Peru. He was attempting to take a picture of himself. Divers and mountain rescue teams were brought in to recover the body submerged more than 20 feet underwater at the base of the falls.","[<sup class=""reference"" id=""cite_ref-samuels_105-0""><a href=""#cite_note-samuels-105"">[105]</a></sup>]"
2016-06-29,Peru,1,Fall,"A 51-year-old German tourist visiting Machu Picchu in Peru, fell 130 feet (40 m) to his death after he lost his footing while leaping into the air for a ""flying selfie"".","[<sup class=""reference"" id=""cite_ref-samuels_105-1""><a href=""#cite_note-samuels-105"">[105]</a></sup>, <sup class=""reference"" id=""cite_ref-106""><a href=""#cite_note-106"">[106]</a></sup>]"
2016-07-01,Croatia,1,Fall,"A 20-year-old Canadian tourist plunged off a viewpoint 75 meters (246 ft) high in the Plitvice Lakes National Park, Croatia, while trying to take a selfie. His fall was broken by tree branches and he survived with injuries. It was the park's second selfie accident in a year.","[<sup class=""reference"" id=""cite_ref-dnpk_48-1""><a href=""#cite_note-dnpk-48"">[48]</a></sup>, <sup class=""reference"" id=""cite_ref-ctvnews_49-1""><a href=""#cite_note-ctvnews-49"">[49]</a></sup>]"
2016-07-02,India,1,Fall,"A 32-year-old resident of Mali Mohalla, near Saharanpur Chowk, Dehradun (India), lost his life after he fell in a 150-feet deep gorge while taking a selfie near Chunakhaal on Dehradun-Mussoorie road in Uttarakhand, India. This is not the first incident of this kind on the road. Last year, a youth died when he stepped backwards and fell into a deep gorge while his friend was clicking a picture.","[<sup class=""reference"" id=""cite_ref-107""><a href=""#cite_note-107"">[107]</a></sup>]"
2016-07-06,India,4,Drowned,"Four students were taking selfies near Purva waterfall on Tamas River in Rewa district of Madhya Pradesh, India. They were unaware of an oncoming flash flood and all four were swept away and drowned.","[<sup class=""reference"" id=""cite_ref-108""><a href=""#cite_note-108"">[108]</a></sup>]"
2016-07-12,India,1,Fall,"A 36-year-old and a friend climbed to a mountain peak at Khandala, India, against warnings. There they took selfies with a waterfall in the background, but the 36-year-old slipped and fell into a 200-foot-deep quarry and died.","[<sup class=""reference"" id=""cite_ref-109""><a href=""#cite_note-109"">[109]</a></sup>]"
2016-07-12,Nepal,1,Animal,"In southern Nepal, a truck driver stopped for a wild herd of 21 elephants crossing the road. The driver exited his vehicle to take a selfie with the animals. The herd attacked and killed the man.","[<sup class=""reference"" id=""cite_ref-110""><a href=""#cite_note-110"">[110]</a></sup>]"
2016-07-13,India,2,Drowned,"Two students drowned while taking selfies at Kosi Dam near Rampur, Uttar Pradesh, India. A group of students were taking selfies and became trapped in a vortex; the rest were saved.","[<sup class=""reference"" id=""cite_ref-111""><a href=""#cite_note-111"">[111]</a></sup>]"
2016-07-13,Vietnam,2,Transport,"In the province of Hung Yen, Vietnam, two men aged 21 and 28 were hit and killed by a train while taking a selfie on the tracks. Bystanders tried to shout warnings at the men but they could not hear them due to wearing earphones.","[<sup class=""reference"" id=""cite_ref-112""><a href=""#cite_note-112"">[112]</a></sup>]"
2016-07-17,India,2,Drowned,"A married couple ages 40 and 42, from Tirupur district of Tamil Nadu, were swept away by a ""giant wave"" in Kanyakumari, India, while they were taking a selfie.","[<sup class=""reference"" id=""cite_ref-113""><a href=""#cite_note-113"">[113]</a></sup>]"
2016-07-19,India,2,Fall,"In an incident reported on 19 July, two people were taking selfies at Alekan waterfall in Charmadi Ghat, India. The two, Hanumanthappa (34) and Nagabhushan (38), residents of Chitradurga district, lost balance and fell into the waterfall. They were both killed.","[<sup class=""reference"" id=""cite_ref-114""><a href=""#cite_note-114"">[114]</a></sup>]"
2016-07-23,India,1,Fall,"At Amboli Falls, a popular tourist destination in Sindhudurg district in Maharashtra, India, a youth fell into a 60-foot-deep gorge while taking a selfie. He died.","[<sup class=""reference"" id=""cite_ref-115""><a href=""#cite_note-115"">[115]</a></sup>]"
